project,Region,country,Status(as of 2025.1Q),Extraction Type,Resource,Total_Cash_Cost,Capacity,Cost_Quartile
Tanco,North America,Canada,Existing operations,Underground,Pegmatite,12703.891077335991,3.6,Q3
Kings Mountain,North America,United States,Possible projects,Open pit,Pegmatite,12707.8207776046,50.0,Q3
Sal de Oro,South America,Argentina,Existing operations,Direct Extraction,Brine,12872.008901120018,22.0,Q3
Wolfsberg,Europe,Austria,Speculative projects,Underground,Pegmatite,12957.28156704169,0.0,Q3
Huashan,Asia,China,Existing operations,Open pit,Pegmatite,13025.78395119677,60.0,Q3
Bald Hill Phase 2,Oceania,Australia,Possible projects,Open pit,Pegmatite,13113.5,0.0,Q3
Cauchari,South America,Argentina,Possible projects,Evaporation,Brine,13221.133176134988,25.0,Q3
Pozuelos,South America,Argentina,Possible projects,Evaporation,Brine,13221.133176134988,25.0,Q3
Salar del Rincón II Phase 2,South America,Argentina,Speculative projects,Direct Extraction,Brine,13240.23376125816,25.0,Q3
Teels Marsh Valley,North America,United States,Speculative projects,Open pit,Sedimentary,13243.63911943088,0.0,Q3
North American Lithium,North America,Canada,Existing operations,Open pit,Pegmatite,13254.355765210254,22.9805,Q3
Goulamina Phase 2,Africa,Mali,Possible projects,Open pit,Pegmatite,13300.27112359867,40.0,Q3
Separation Rapids,North America,Canada,Speculative projects,Open pit,Pegmatite,13329.89526749041,12.85,Q3
Kamativi,Africa,Zimbabwe,Existing operations,Tailings,Pegmatite,13500.0,43.3,Q3
Ewoyaa Phase 2,Africa,Ghana,Speculative projects,Open pit,Pegmatite,13518.25211092579,35.3,Q3
Authier,North America,Canada,Possible projects,Open pit,Pegmatite,13575.000000000002,16.93,Q3
Manna,Oceania,Australia,Speculative projects,Open pit,Pegmatite,13575.000000000002,0.0,Q3
Mt Cattlin,Oceania,Australia,Existing operations,Open pit,Pegmatite,13609.798271616917,28.69,Q3
Beauvoir,Europe,France,Speculative projects,Open pit,Pegmatite,13737.78945172474,29.93,Q3
El Dorado,North America,United States,Speculative projects,Direct Extraction,Brine,13818.73231646484,5.4,Q3
Jinzifeng,Asia,China,Speculative projects,Open pit,Pegmatite,13870.089410984296,0.0,Q3
Clearwater,North America,Canada,Possible projects,Direct Extraction,Brine,13937.95145560574,28.38,Q3
Carolina,North America,United States,Possible projects,Open pit,Pegmatite,14167.994751781469,10.0,Q3
Doncella,South America,Argentina,Speculative projects,Direct Extraction,Brine,14178.724109781158,3.0,Q3
Goulamina,Africa,Mali,Existing operations,Open pit,Pegmatite,14181.541949920238,75.08,Q3
Laguna Verde,South America,Argentina,Speculative projects,Evaporation,Brine,14182.53536311891,0.0,Q3
Sal de Oro Phase 3,South America,Argentina,Possible projects,Evaporation,Brine,14182.53536311891,0.0,Q3
Sal de Oro Phase 2,South America,Argentina,Probable projects,Evaporation,Brine,14182.53536311891,0.0,Q3
Sal de Vida Phase 2,South America,Argentina,Possible projects,Evaporation,Brine,14182.53536311891,0.0,Q3
Cauchari East,South America,Argentina,Speculative projects,Evaporation,Brine,14182.53536311891,0.0,Q3
Polokhivske,Europe,Ukraine,Speculative projects,Open pit,Pegmatite,14190.6549302467,29.68,Q3
Salar de Coipasa,South America,Bolivia,Speculative projects,Direct Extraction,Brine,14236.465636155981,25.0,Q3
Manono,Africa,Democratic Republic of the Congo,Possible projects,Open pit,Pegmatite,14260.72894286601,25.0,Q3
Sandawana Phase 2,Africa,Zimbabwe,Probable projects,Open pit,Pegmatite,14336.27441920797,54.0,Q3
Zinnwald,Europe,Germany,Speculative projects,Underground,Pegmatite,14420.95968180603,7.26,Q3
Da Qaidam I,Asia,China,Existing operations,Evaporation,Brine,14455.231239739773,5.0,Q3
Bougoni Phase 2,Africa,Mali,Possible projects,Open pit,Pegmatite,14479.269966452539,19.0,Q3
Tongan,Asia,China,Existing operations,Underground,Pegmatite,14497.98,3.13,Q3
Kachi Phase 2,South America,Argentina,Speculative projects,Direct Extraction,Brine,14546.70161511014,0.0,Q3
Arizaro,South America,Argentina,Speculative projects,Direct Extraction,Brine,14546.70161511014,0.0,Q3
Guayatoyoc,South America,Argentina,Speculative projects,Direct Extraction,Brine,14546.70161511014,0.0,Q3
Tongan Ejing,Asia,China,Speculative projects,Underground,Pegmatite,14621.43015470729,0.0,Q3
Tongan Diyi,Asia,China,Speculative projects,Underground,Pegmatite,14621.43015470729,0.0,Q3
Uis I Phase 2,Africa,Namibia,Possible projects,Open pit,Pegmatite,14726.30452883667,14.5,Q3
Da Qaidam II,Asia,China,Speculative projects,Evaporation,Brine,14730.004536057899,0.0,Q3
Yeweiling,Asia,China,Speculative projects,Open pit,Pegmatite,14772.50025875837,0.0,Q3
